paddsb, FUNCTION, (paddsbInstr), SSE/AVX Instruction, SSE
paddsw, FUNCTION, (paddswInstr), SSE/AVX Instruction, SSE
paddusb, FUNCTION, (paddusbInstr), SSE/AVX Instruction, SSE
paddusw, FUNCTION, (padduswInstr), SSE/AVX Instruction, SSE
paddw, FUNCTION, (paddwInstr), SSE/AVX Instruction, SSE
palignr, FUNCTION, (palignrInstr), SSE/AVX Instruction, SSE
pand, FUNCTION, (pandInstr), SSE/AVX Instruction, SSE
pandn, FUNCTION, (pandnInstr), SSE/AVX Instruction, SSE
pavgb, FUNCTION, (pavgbInstr), SSE/AVX Instruction, SSE
pavgw, FUNCTION, (pavgwInstr), SSE/AVX Instruction, SSE
pblendvb, FUNCTION, (pblendvbInstr), SSE/AVX Instruction, SSE
pblendw, FUNCTION, (pblendwInstr), SSE/AVX Instruction, SSE
pclmulqdq, FUNCTION, (pclmulqdqInstr), SSE/AVX Instruction, SSE
pcmpeqb, FUNCTION, (pcmpeqbInstr), SSE/AVX Instruction, SSE
pcmpeqd, FUNCTION, (pcmpeqdInstr), SSE/AVX Instruction, SSE
pcmpeqq, FUNCTION, (pcmpeqqInstr), SSE/AVX Instruction, SSE
pcmpeqw, FUNCTION, (pcmpeqwInstr), SSE/AVX Instruction, SSE
pcmpestri, FUNCTION, (pcmpestriInstr), SSE/AVX Instruction, SSE
pcmpestrm, FUNCTION, (pcmpestrmInstr), SSE/AVX Instruction, SSE
pcmpgtb, FUNCTION, (pcmpgtbInstr), SSE/AVX Instruction, SSE
pcmpgtd, FUNCTION, (pcmpgtdInstr), SSE/AVX Instruction, SSE
pcmpgtq, FUNCTION, (pcmpgtqInstr), SSE/AVX Instruction, SSE
pcmpgtw, FUNCTION, (pcmpgtwInstr), SSE/AVX Instruction, SSE
pcmpistri, FUNCTION, (pcmpistriInstr), SSE/AVX Instruction, SSE
pcmpistrm, FUNCTION, (pcmpistrmInstr), SSE/AVX Instruction, SSE
pextrb, FUNCTION, (pextrbInstr), SSE/AVX Instruction, SSE
pextrd, FUNCTION, (pextrdInstr), SSE/AVX Instruction, SSE
pextrq, FUNCTION, (pextrqInstr), SSE/AVX Instruction, SSE
pextrw, FUNCTION, (pextrwInstr), SSE/AVX Instruction, SSE
phaddd, FUNCTION, (phadddInstr), SSE/AVX Instruction, SSE
phaddsw, FUNCTION, (phaddswInstr), SSE/AVX Instruction, SSE
phaddw, FUNCTION, (phaddwInstr), SSE/AVX Instruction, SSE
phminposuw, FUNCTION, (phminposuwInstr), SSE/AVX Instruction, SSE
phsubd, FUNCTION, (phsubdInstr), SSE/AVX Instruction, SSE
phsubsw, FUNCTION, (phsubswInstr), SSE/AVX Instruction, SSE
phsubw, FUNCTION, (phsubwInstr), SSE/AVX Instruction, SSE
pinsrb, FUNCTION, (pinsrbInstr), SSE/AVX Instruction, SSE
pinsrd, FUNCTION, (pinsrdInstr), SSE/AVX Instruction, SSE
pinsrq, FUNCTION, (pinsrqInstr), SSE/AVX Instruction, SSE
pinsrw, FUNCTION, (pinsrwInstr), SSE/AVX Instruction, SSE
pmaddubsw, FUNCTION, (pmaddubswInstr), SSE/AVX Instruction, SSE
pmaddwd, FUNCTION, (pmaddwdInstr), SSE/AVX Instruction, SSE
pmaxsb, FUNCTION, (pmaxsbInstr), SSE/AVX Instruction, SSE
pmaxsd, FUNCTION, (pmaxsdInstr), SSE/AVX Instruction, SSE
pmaxsw, FUNCTION, (pmaxswInstr), SSE/AVX Instruction, SSE
pmaxub, FUNCTION, (pmaxubInstr), SSE/AVX Instruction, SSE
pmaxud, FUNCTION, (pmaxudInstr), SSE/AVX Instruction, SSE
pmaxuw, FUNCTION, (pmaxuwInstr), SSE/AVX Instruction, SSE
pminsb, FUNCTION, (pminsbInstr), SSE/AVX Instruction, SSE
pminsd, FUNCTION, (pminsdInstr), SSE/AVX Instruction, SSE
pminsw, FUNCTION, (pminswInstr), SSE/AVX Instruction, SSE
pminub, FUNCTION, (pminubInstr), SSE/AVX Instruction, SSE
