mm1, KEYWORD, mmxReg,1, mm1
mm2, KEYWORD, mmxReg,2, mm2
mm3, KEYWORD, mmxReg,3, mm3
mm4, KEYWORD, mmxReg,4, mm4
mm5, KEYWORD, mmxReg,5, mm5
mm6, KEYWORD, mmxReg,6, mm6
mm7, KEYWORD, mmxReg,7, mm7
mod, KEYWORD, operator, modop, mod
mov, FUNCTION, (movInstr), Function description, 
mul, FUNCTION, (mulInstr), Function description, 
neg, FUNCTION, (negInstr), Function description, 
nop, FUNCTION, (nopInstr), Function description, 
not, FUNCTION, (notInstr), Function description, 
org, FUNCTION, (OrgDirective), Function description, 
out, FUNCTION, (outInstr), Function description, 
pop, FUNCTION, (popInstr), Function description, 
por, FUNCTION, (porInstr), Function description, 
ptr, KEYWORD, operator, SubOp, ptr
r10, KEYWORD, LMReg64,2, r10
r11, KEYWORD, LMReg64,3, r11
r12, KEYWORD, LMReg64,4, r12
r13, KEYWORD, LMReg64,5, r13
r14, KEYWORD, LMReg64,6, r14
r15, KEYWORD, LMReg64,7, r15
r8b, KEYWORD, LMReg8,0, r8b
r8d, KEYWORD, LMReg32,0, r8d
r8w, KEYWORD, LMReg16,0, r8w
r9b, KEYWORD, LMReg8,1, r9b
r9d, KEYWORD, LMReg32,1, r9d
r9w, KEYWORD, LMReg16,1, r9w
rax, KEYWORD, Reg64,0, rax
rbp, KEYWORD, Reg64,5, rbp
rbx, KEYWORD, Reg64,3, rbx
rcl, FUNCTION, (rclInstr), Function description, 
rcr, FUNCTION, (rcrInstr), Function description, 
rcx, KEYWORD, Reg64,1, rcx
rdi, KEYWORD, Reg64,7, rdi
rdx, KEYWORD, Reg64,2, rdx
rep, FUNCTION, (repInstr), Function description, 
ret, FUNCTION, (retInstr), Function description, 
rol, FUNCTION, (rolInstr), Function description, 
ror, FUNCTION, (rorInstr), Function description, 
rsi, KEYWORD, Reg64,6, rsi
rsm, FUNCTION, (rsmInstr), Function description, 
rsp, KEYWORD, Reg64,4, rsp
rva, KEYWORD, Operator,3, rva
sal, FUNCTION, (salInstr), Function description, 
sar, FUNCTION, (sarInstr), Function description, 
sbb, FUNCTION, (sbbInstr), Function description, 
seg, KEYWORD, operator,4, seg
shl, FUNCTION, (shlInstr), Function description, 
shr, FUNCTION, (shrInstr), Function description, 
sil, KEYWORD, lmlowReg,6, sil
smi, FUNCTION, (smiInstr), Function description, 
spl, KEYWORD, lmlowReg,4, spl
st0, KEYWORD, FPUReg,0, st0
st1, KEYWORD, FPUReg,1, st1
st2, KEYWORD, FPUReg,2, st2
st3, KEYWORD, FPUReg,3, st3
st4, KEYWORD, FPUReg,4, st4
st5, KEYWORD, FPUReg,5, st5
st6, KEYWORD, FPUReg,6, st6
st7, KEYWORD, FPUReg,7, st7
stc, FUNCTION, (stcInstr), Function description, 
std, FUNCTION, (stdInstr), Function description, 
sti, FUNCTION, (stiInstr), Function description, 
str, FUNCTION, (strInstr), Function description, 
sub, FUNCTION, (subInstr), Function description, 
tr0, KEYWORD, TestReg,0, tr0
tr1, KEYWORD, TestReg,1, tr1
tr2, KEYWORD, TestReg,2, tr2
tr3, KEYWORD, TestReg,3, tr3
tr4, KEYWORD, TestReg,4, tr4
tr5, KEYWORD, TestReg,5, tr5
tr6, KEYWORD, TestReg,6, tr6
tr7, KEYWORD, TestReg,7, tr7
ud2, FUNCTION, (ud2Instr), Function description, 
xor, FUNCTION, (xorInstr), Function description, 
arpl, FUNCTION, (arplInstr), Function description, 
byte, KEYWORD, datatype,1, byte
call, FUNCTION, (callInstr), Function description, 
cdqe, FUNCTION, (cdqeInstr), Function description, 
clts, FUNCTION, (cltsInstr), Function description, 
