pavgb,FUNCTION,pavgbInstr,SSE/AVX Instruction,BasicMMX,BYTE,0x0E0,,
pavgw,FUNCTION,pavgwInstr,SSE/AVX Instruction,BasicMMX,BYTE,0x0E3,,
pcmpeqb,FUNCTION,pcmpeqbInstr,SSE/AVX Instruction,BasicMMX,BYTE,0x74,,
pcmpeqd,FUNCTION,pcmpeqdInstr,SSE/AVX Instruction,BasicMMX,BYTE,0x76,,
pcmpeqw,FUNCTION,pcmpeqwInstr,SSE/AVX Instruction,BasicMMX,BYTE,0x75,,
pcmpgtb,FUNCTION,pcmpgtbInstr,SSE/AVX Instruction,BasicMMX,BYTE,0x64,,
pcmpgtd,FUNCTION,pcmpgtdInstr,SSE/AVX Instruction,BasicMMX,BYTE,0x66,,
pcmpgtw,FUNCTION,pcmpgtwInstr,SSE/AVX Instruction,BasicMMX,BYTE,0x65,,
pmaxsw,FUNCTION,pmaxswInstr,SSE/AVX Instruction,BasicMMX,BYTE,0x0EE,,
pmaxub,FUNCTION,pmaxubInstr,SSE/AVX Instruction,BasicMMX,BYTE,0x0DE,,
pminsw,FUNCTION,pminswInstr,SSE/AVX Instruction,BasicMMX,BYTE,0x0EA,,
pminub,FUNCTION,pminubInstr,SSE/AVX Instruction,BasicMMX,BYTE,0x0DA,,
pmulhuw,FUNCTION,pmulhuwInstr,SSE/AVX Instruction,BasicMMX,BYTE,0x0E4,,
pmulhw,FUNCTION,pmulhwInstr,SSE/AVX Instruction,BasicMMX,BYTE,0x0E5,,
pmullw,FUNCTION,pmullwInstr,SSE/AVX Instruction,BasicMMX,BYTE,0x0D5,,
pmuludq,FUNCTION,pmuludqInstr,SSE/AVX Instruction,BasicMMX,BYTE,0x0F4,,
por,FUNCTION,porInstr,SSE/AVX Instruction,BasicMMX,BYTE,0x0EB,,
psubb,FUNCTION,psubbInstr,SSE/AVX Instruction,BasicMMX,BYTE,0x0F8,,
psubd,FUNCTION,psubdInstr,SSE/AVX Instruction,BasicMMX,BYTE,0x0FA,,
psubq,FUNCTION,psubqInstr,SSE/AVX Instruction,BasicMMX,BYTE,0x0FB,,
psubsb,FUNCTION,psubsbInstr,SSE/AVX Instruction,BasicMMX,BYTE,0x0E8,,
psubsw,FUNCTION,psubswInstr,SSE/AVX Instruction,BasicMMX,BYTE,0x0E9,,
psubusb,FUNCTION,psubusbInstr,SSE/AVX Instruction,BasicMMX,BYTE,0x0D8,,
psubusw,FUNCTION,psubuswInstr,SSE/AVX Instruction,BasicMMX,BYTE,0x0D9,,
psubw,FUNCTION,psubwInstr,SSE/AVX Instruction,BasicMMX,BYTE,0x0F9,,
punpckhbw,FUNCTION,punpckhbwInstr,SSE/AVX Instruction,BasicMMX,BYTE,0x068,,
